ASSERTION	AAMBAAIFAAAAAAAAAAAA
RUN	BasicSimulation	basicsimulation	1642455776179	 	3.0.3
USER	BasicSimulation	1	START	1642455779054	1642455779054
REQUEST	1		request_1	1642455779096	1642455783683	OK	 
REQUEST	1		request_1 Redirect 1	1642455783701	1642455783802	OK	 
USER	BasicSimulation	2	START	1642455784050	1642455784050
REQUEST	2		request_1	1642455784052	1642455784279	OK	 
REQUEST	2		request_1 Redirect 1	1642455784281	1642455784385	OK	 
USER	BasicSimulation	1	END	1642455779054	1642455788841
USER	BasicSimulation	3	START	1642455789055	1642455789055
REQUEST	3		request_1	1642455789056	1642455789284	OK	 
REQUEST	3		request_1 Redirect 1	1642455789285	1642455789395	OK	 
USER	BasicSimulation	2	END	1642455784050	1642455789410
USER	BasicSimulation	4	START	1642455794051	1642455794051
REQUEST	4		request_1	1642455794054	1642455794317	OK	 
USER	BasicSimulation	3	END	1642455789055	1642455794421
REQUEST	4		request_1 Redirect 1	1642455794318	1642455794421	OK	 
USER	BasicSimulation	5	START	1642455799045	1642455799045
REQUEST	5		request_1	1642455799046	1642455799285	OK	 
REQUEST	5		request_1 Redirect 1	1642455799287	1642455799432	OK	 
USER	BasicSimulation	4	END	1642455794051	1642455799445
USER	BasicSimulation	6	START	1642455804043	1642455804043
REQUEST	6		request_1	1642455804044	1642455804272	OK	 
REQUEST	6		request_1 Redirect 1	1642455804274	1642455804384	OK	 
USER	BasicSimulation	5	END	1642455799045	1642455804457
USER	BasicSimulation	7	START	1642455809049	1642455809049
REQUEST	7		request_1	1642455809051	1642455809270	OK	 
REQUEST	7		request_1 Redirect 1	1642455809272	1642455809380	OK	 
USER	BasicSimulation	6	END	1642455804043	1642455809396
USER	BasicSimulation	8	START	1642455814036	1642455814036
USER	BasicSimulation	7	END	1642455809049	1642455814390
REQUEST	8		request_1	1642455814037	1642455815029	OK	 
REQUEST	8		request_1 Redirect 1	1642455815031	1642455815134	OK	 
USER	BasicSimulation	9	START	1642455819043	1642455819043
REQUEST	9		request_1	1642455819044	1642455819767	OK	 
USER	BasicSimulation	8	END	1642455814036	1642455820145
REQUEST	9		request_1 Redirect 1	1642455819770	1642455820346	OK	 
USER	BasicSimulation	10	START	1642455824034	1642455824034
REQUEST	10		request_1	1642455824036	1642455824261	OK	 
REQUEST	10		request_1 Redirect 1	1642455824263	1642455824872	OK	 
USER	BasicSimulation	9	END	1642455819043	1642455825374
USER	BasicSimulation	11	START	1642455829054	1642455829054
REQUEST	11		request_1	1642455829055	1642455829312	OK	 
REQUEST	11		request_1 Redirect 1	1642455829314	1642455829422	OK	 
USER	BasicSimulation	10	END	1642455824034	1642455829894
USER	BasicSimulation	12	START	1642455834046	1642455834046
REQUEST	12		request_1	1642455834048	1642455834263	OK	 
REQUEST	12		request_1 Redirect 1	1642455834264	1642455834369	OK	 
USER	BasicSimulation	11	END	1642455829054	1642455834433
USER	BasicSimulation	13	START	1642455839039	1642455839039
REQUEST	13		request_1	1642455839040	1642455839251	OK	 
REQUEST	13		request_1 Redirect 1	1642455839252	1642455839367	OK	 
USER	BasicSimulation	12	END	1642455834046	1642455839393
USER	BasicSimulation	14	START	1642455844047	1642455844047
REQUEST	14		request_1	1642455844048	1642455844264	OK	 
REQUEST	14		request_1 Redirect 1	1642455844266	1642455844372	OK	 
USER	BasicSimulation	13	END	1642455839039	1642455844379
USER	BasicSimulation	15	START	1642455849042	1642455849042
REQUEST	15		request_1	1642455849043	1642455849259	OK	 
REQUEST	15		request_1 Redirect 1	1642455849260	1642455849366	OK	 
USER	BasicSimulation	14	END	1642455844047	1642455849392
USER	BasicSimulation	16	START	1642455854043	1642455854043
REQUEST	16		request_1	1642455854044	1642455854249	OK	 
REQUEST	16		request_1 Redirect 1	1642455854251	1642455854361	OK	 
USER	BasicSimulation	15	END	1642455849042	1642455854383
USER	BasicSimulation	17	START	1642455859048	1642455859048
REQUEST	17		request_1	1642455859050	1642455859267	OK	 
REQUEST	17		request_1 Redirect 1	1642455859268	1642455859377	OK	 
USER	BasicSimulation	16	END	1642455854043	1642455859387
USER	BasicSimulation	18	START	1642455864043	1642455864043
REQUEST	18		request_1	1642455864044	1642455864251	OK	 
REQUEST	18		request_1 Redirect 1	1642455864252	1642455864360	OK	 
USER	BasicSimulation	17	END	1642455859048	1642455864396
USER	BasicSimulation	19	START	1642455869048	1642455869048
REQUEST	19		request_1	1642455869051	1642455869266	OK	 
REQUEST	19		request_1 Redirect 1	1642455869267	1642455869379	OK	 
USER	BasicSimulation	18	END	1642455864043	1642455869380
USER	BasicSimulation	20	START	1642455874043	1642455874043
REQUEST	20		request_1	1642455874044	1642455874249	OK	 
REQUEST	20		request_1 Redirect 1	1642455874251	1642455874356	OK	 
USER	BasicSimulation	19	END	1642455869048	1642455874387
USER	BasicSimulation	21	START	1642455879047	1642455879047
REQUEST	21		request_1	1642455879049	1642455879265	OK	 
