ASSERTION	AAMBAAIFAAAAAAAAAAAA
RUN	BasicSimulation	basicsimulation	1642455776179	 	3.0.3
USER	BasicSimulation	20	END	1642455874043	1642455879379
REQUEST	21		request_1 Redirect 1	1642455879266	1642455879380	OK	 
USER	BasicSimulation	22	START	1642455884039	1642455884039
REQUEST	22		request_1	1642455884041	1642455884257	OK	 
REQUEST	22		request_1 Redirect 1	1642455884258	1642455884365	OK	 
USER	BasicSimulation	21	END	1642455879047	1642455884387
USER	BasicSimulation	23	START	1642455889048	1642455889048
REQUEST	23		request_1	1642455889051	1642455889248	OK	 
REQUEST	23		request_1 Redirect 1	1642455889250	1642455889351	OK	 
USER	BasicSimulation	22	END	1642455884039	1642455889379
USER	BasicSimulation	24	START	1642455894043	1642455894043
REQUEST	24		request_1	1642455894044	1642455894249	OK	 
USER	BasicSimulation	23	END	1642455889048	1642455894356
REQUEST	24		request_1 Redirect 1	1642455894250	1642455894356	OK	 
USER	BasicSimulation	24	END	1642455894043	1642455899380
